county,Life Expectancy,Age-Adjusted Death Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Physically Inactive,% With Access to Exercise Opportunities,% Flu Vaccinated,High School Graduation Rate,Income inequality,Social Association Rate,Average Daily PM2.5
Anderson,73.4,569,20,35,59,31,71,10927,20,17,23,26,43,97,4.3,10,9.9
Andrews,77.5,372,39,32,40,10,73,7138,20,13,26,94,24,96,4.3,7.3,7.3
Angelina,76.1,462,19,35,67,37,66,8914,21,16,35,65,48,92,4.4,11.3,9.8
Aransas,77.9,444,20,30,96,21,78,8770,21,14,36,81,42,89,5.3,5.1,9.3
Archer,78.8,384,29,29,29,27,84,8253,14,14,19,23,46,99,4.4,9.1,8.5
Armstrong,77.4,348,,29,43,,80,,12,12,23,3,26,100,3.7,26.6,6.8
Atascosa,78.3,380,20,33,63,25,75,7754,24,14,32,41,36,93,4.4,6.9,9.6
Austin,78.9,339,19,30,54,15,76,7371,17,14,29,26,40,97,4.7,12.4,10.2
Bailey,77.7,371,28,33,83,,78,9062,27,16,25,82,41,100,3.6,7.1,6.8
Bandera,79.6,338,22,30,51,25,84,7556,17,14,28,58,39,92,4.3,9.4,8.9
Bastrop,77.6,379,29,33,69,33,77,7880,20,16,24,48,41,94,4.2,7.4,10.1
Baylor,73.7,615,47,30,57,,71,11359,17,14,25,86,18,98,4.3,14,7.8
Bee,76.5,443,19,34,70,26,64,8267,24,16,22,51,29,89,5.4,4.3,9.4
Bell,78.4,371,15,36,56,38,54,7307,20,15,23,78,39,75,4,7.6,10.1
Bexar,78.9,350,11,34,62,26,59,6963,22,15,23,86,38,87,4.7,5.7,10.4
Blanco,78.8,319,17,29,39,13,78,6887,16,13,28,50,44,97,4.3,10.3,8.9
Borden,,,,29,25,,75,,13,11,26,0,18,100,2.9,0,7.1
Bosque,76.3,455,28,29,62,19,78,9705,18,14,27,31,30,97,4.1,13.6,9.5
Bowie,75.6,478,16,36,60,42,64,9530,19,17,39,41,43,96,5.3,13.2,10
Brazoria,79.1,329,13,31,44,37,72,6206,18,13,28,81,41,94,4.4,6.5,11.4
Brazos,81.3,268,10,34,57,29,46,4878,18,14,20,89,53,86,6,7.6,10.1
Brewster,80.9,373,19,30,52,12,58,8208,22,14,27,58,21,99,4.9,18.2,6.3
Briscoe,,307,,30,54,,74,,19,14,29,71,29,100,4.5,0,6.9
Brooks,77.1,462,20,36,80,5,62,8971,38,18,26,42,39,90,6,4.1,8.6
Brown,75.7,483,17,34,63,29,72,9384,18,15,34,65,41,97,4.1,17.6,8.3
Burleson,76.7,430,26,30,61,17,80,8224,18,14,25,50,41,94,4.3,12.2,9.8
Burnet,79.2,334,23,30,60,25,75,6882,17,13,27,63,45,93,4.1,13.2,9.1
Caldwell,77.4,437,23,34,73,17,66,8696,23,15,27,59,45,90,4.2,8.7,10.1
Calhoun,78.4,388,20,33,73,7,71,7461,21,14,23,55,29,93,4.5,9.7,9.4
Callahan,76.3,444,20,29,52,19,83,8864,17,15,30,55,40,94,4.9,13.6,7.9
Cameron,80.9,321,10,34,87,28,67,6293,31,13,25,66,42,90,5.7,5.1,9.3
Camp,75.5,477,25,33,75,24,72,9970,21,16,25,60,35,98,4,11.7,9.9
Carson,78.1,384,,29,33,20,83,6897,13,13,24,72,44,99,4.5,21.6,7
Cass,76,475,26,32,63,25,78,9286,18,15,34,36,35,97,4.6,17,9.9
Castro,79.8,373,,33,74,22,59,7875,24,14,22,49,35,97,3.6,11.5,7.3
Chambers,77.9,379,20,32,37,24,84,7237,17,15,26,70,28,98,5.5,6,9.9
Cherokee,75.7,457,27,34,63,30,72,9638,21,16,34,47,43,91,4.5,9.6,10
Childress,76,407,20,32,54,10,59,8947,20,16,27,74,23,94,4,9.9,7.5
Clay,78,390,23,31,46,18,85,7851,16,15,33,19,45,97,4.3,13.4,8.6
Cochran,75.7,530,,34,78,,78,13380,30,18,22,48,21,98,6.2,17.5,6.8
Coke,76.7,443,48,29,54,15,75,,18,14,30,72,46,98,4.6,12.1,7.5
Coleman,74.7,470,22,30,64,35,71,10396,20,16,27,69,25,91,4.4,23.7,7.8
Collin,82.6,212,6,32,23,26,66,4192,13,12,20,90,55,97,4,6.7,10.9
Collingsworth,74.8,412,,32,61,,77,,20,15,20,71,14,100,4.1,16.7,7.3
Colorado,77.9,373,29,31,65,20,82,8144,19,13,33,57,31,80,4.2,12.7,9.7
Comal,79.9,283,15,30,32,22,75,5752,15,13,21,84,44,94,4.2,9.1,10.2
Comanche,77.3,382,35,30,64,21,79,8215,20,15,25,15,25,99,4.5,9.6,8.4
Concho,81.3,366,,33,65,,71,,19,13,25,70,40,93,5.7,0,7.5
Cooke,77.6,403,18,30,57,36,68,8291,16,15,27,52,41,95,4.1,10,9.8
Coryell,77.5,372,14,33,53,28,58,7103,18,16,24,64,35,95,3.7,6.7,9.5
Cottle,,556,,32,67,,65,,22,16,23,84,19,80,4.2,21.6,7.2
Crane,79,389,30,31,53,,86,7137,20,13,20,92,18,95,3.5,8.4,7.1
Crockett,75.4,464,,31,51,,71,9709,22,13,22,18,23,95,5.2,16.8,7.3
Crosby,75.1,510,,32,81,25,71,10117,25,16,24,32,39,94,4.4,15.3,7.6
Culberson,81,368,,33,76,,68,,35,19,25,93,14,96,4.1,0,5.9
Dallam,78.7,394,30,32,66,12,63,8131,21,16,24,93,27,99,3.4,13.9,6
Dallas,78.9,344,11,33,72,38,50,6851,19,15,24,96,51,84,4.6,7.3,10
Dawson,75.7,446,16,33,68,25,71,9353,25,16,28,68,23,99,5.6,14.8,7.3
Deaf Smith,77.8,402,20,33,79,20,63,7894,25,15,20,81,35,88,3.9,9.6,7
Delta,73,589,38,31,63,31,74,13278,18,16,25,69,42,98,4.6,9.4,9.8
Denton,81.8,231,7,29,32,30,64,4350,14,13,20,94,52,95,4.1,5.8,10.9
DeWitt,76.5,440,20,32,73,22,75,8228,22,15,34,60,29,97,5.5,17.3,9.6
Dickens,78.1,413,,31,65,,73,,21,15,24,37,26,96,6.9,18.1,7.1
Dimmit,79.6,401,28,33,77,14,72,7766,34,17,30,68,33,79,6.2,6.7,8.1
Donley,75.2,492,,30,55,12,75,,17,14,23,78,21,98,4.2,18.1,7
Duval,74.9,537,24,34,74,15,63,11679,33,16,23,58,34,86,5.2,3.5,8.5
Eastland,76.5,441,23,29,62,14,76,8287,19,15,29,53,40,96,4.7,12.5,8.3
Ector,75.3,491,32,31,49,20,66,9475,21,14,30,71,39,81,4.4,7.8,7.8
Edwards,76.9,364,,29,71,,82,,21,13,28,3,30,98,5,15.4,7.3
Ellis,78.3,339,14,34,47,30,73,6614,16,13,27,66,50,93,4,9,10.5
El Paso,80.5,314,11,36,74,21,61,5972,27,14,21,82,32,87,4.8,4.9,9.5
Erath,78.3,352,23,31,53,45,64,6740,19,16,28,65,47,62,5.7,11.4,8.8
Falls,77,442,17,35,82,38,74,8179,23,18,35,45,34,97,6.3,12,10
Fannin,74.4,512,34,32,58,17,73,10505,17,16,31,39,43,98,4.5,12.2,10
Fayette,79.5,323,27,30,55,17,81,6818,16,13,23,58,44,97,4.9,18.6,9.6
Fisher,81.2,309,41,31,52,32,74,,19,13,22,4,9,100,4.8,20.6,7.6
Floyd,79.1,356,,33,77,10,72,6898,25,15,22,83,37,95,4.5,20.5,7.3
Foard,,697,,30,75,,84,,16,13,23,41,27,100,3.5,0,7.5
Fort Bend,83,220,7,32,34,36,78,4345,15,12,21,89,46,94,4.1,5,11.7
Franklin,77.4,414,25,30,55,30,77,8661,17,14,34,8,49,97,4.5,12.1,9.9
Freestone,77.7,427,23,32,54,21,75,8472,19,16,40,35,37,96,5.5,9.7,10
Frio,78,434,16,34,76,24,68,7777,28,16,24,41,35,87,5.4,6.6,8.7
Gaines,79.1,328,32,33,56,13,77,6046,20,15,28,36,31,97,4.2,13.1,7.4
Galveston,77.7,389,14,35,46,31,66,7620,20,19,28,84,44,92,5.5,7.4,10.3
Garza,79.6,404,,32,75,,64,5329,20,14,22,13,33,84,3.2,9.2,7.1
Gillespie,79.9,308,23,29,48,27,73,6814,17,12,30,71,51,92,4.5,14.3,8.4
