county,hospital beds
ANDERSON,86
ANDERSON,70
ANDREWS,34
ANGELINA,149
ANGELINA,24
ANGELINA,26
ANGELINA,271
ATASCOSA,67
AUSTIN,32
BAILEY,25
BASTROP,8
BAYLOR,49
BEE,69
BELL,50
BELL,574
BELL,64
BELL,172
BELL,177
BELL,128
BELL,83
BELL,88
BELL,60
BELL,-999
BEXAR,327
BEXAR,20
BEXAR,140
BEXAR,120
BEXAR,282
BEXAR,8
BEXAR,59
BEXAR,208
BEXAR,30
BEXAR,25
BEXAR,383
BEXAR,1034
BEXAR,933
BEXAR,429
BEXAR,371
BEXAR,150
BEXAR,623
BEXAR,208
BEXAR,65
BEXAR,34
BEXAR,26
BEXAR,302
BEXAR,44
BEXAR,36
BEXAR,31
BEXAR,20
BEXAR,354
BEXAR,8
BEXAR,8
BEXAR,62
BEXAR,66
BEXAR,108
BEXAR,40
BEXAR,179
BEXAR,110
BEXAR,72
BEXAR,30
BEXAR,10
BEXAR,8
BEXAR,652
BEXAR,172
BEXAR,483
BEXAR,268
BEXAR,73
BEXAR,94
BEXAR,42
BEXAR,108
BOSQUE,25
BOWIE,312
BOWIE,50
BOWIE,19
BOWIE,60
BOWIE,370
BOWIE,30
BRAZORIA,64
BRAZORIA,64
BRAZORIA,34
BRAZORIA,20
BRAZORIA,175
BRAZORIA,40
BRAZOS,49
BRAZOS,235
BRAZOS,16
BRAZOS,167
BRAZOS,72
BRAZOS,10
BRAZOS,119
BREWSTER,25
BROWN,194
BURLESON,25
BURNET,46
BURNET,25
CALDWELL,34
CALDWELL,25
CALHOUN,25
CAMERON,-999
CAMERON,94
CAMERON,280
CAMERON,214
CAMERON,112
CAMERON,586
CAMERON,41
CAMERON,41
CAMERON,55
CAMERON,40
CAMERON,56
CAMP,25
CASS,25
CASS,43
CASTRO,17
CHAMBERS,14
CHAMBERS,25
CHEROKEE,74
CHEROKEE,330
CHEROKEE,25
CHILDRESS,39
CLAY,25
COCHRAN,18
COLEMAN,25
COLLIN,68
COLLIN,23
COLLIN,366
COLLIN,143
COLLIN,5
COLLIN,7
COLLIN,493
COLLIN,36
COLLIN,48
COLLIN,44
COLLIN,116
COLLIN,24
COLLIN,8
COLLIN,118
COLLIN,160
COLLIN,54
COLLIN,183
COLLIN,83
COLLIN,157
COLLIN,103
COLLIN,72
COLLIN,18
COLLIN,43
COLLIN,66
COLLIN,48
COLLIN,40
COLLIN,73
COLLIN,24
COLLINGSWORTH,16
COLORADO,38
COLORADO,25
COLORADO,40
COMAL,8
COMAL,128
COMAL,40
COMAL,132
COMAL,40
COMANCHE,25
CONCHO,16
COOKE,60
COOKE,18
CORYELL,25
CRANE,25
CROSBY,25
CULBERSON,14
DALLAS,209
DALLAS,24
DALLAS,155
DALLAS,16
DALLAS,116
DALLAS,60
DALLAS,-999
DALLAS,64
DALLAS,148
DALLAS,113
DALLAS,296
DALLAS,202
DALLAS,70
DALLAS,797
DALLAS,317
DALLAS,218
DALLAS,585
DALLAS,100
DALLAS,111
DALLAS,60
DALLAS,84
DALLAS,116
DALLAS,9
DALLAS,54
DALLAS,39
DALLAS,940
DALLAS,25
DALLAS,40
DALLAS,20
DALLAS,25
DALLAS,60
DALLAS,460
DALLAS,46
DALLAS,72
DALLAS,100
DALLAS,487
DALLAS,870
DALLAS,18
DALLAS,100
DALLAS,50
DALLAS,66
DALLAS,144
DALLAS,40
DALLAS,30
DALLAS,50
DALLAS,888
