county,nursing home capacity
ANDERSON,98
ANDERSON,120
ANDERSON,199
ANDERSON,102
ANDERSON,120
ANDREWS,90
ANGELINA,82
ANGELINA,112
ANGELINA,120
ANGELINA,145
ANGELINA,120
ANGELINA,140
ANGELINA,51
ANGELINA,150
ARANSAS,120
ARANSAS,92
ARCHER,46
ARMSTRONG,66
ATASCOSA,60
ATASCOSA,70
ATASCOSA,46
ATASCOSA,88
ATASCOSA,100
ATASCOSA,62
AUSTIN,100
AUSTIN,85
AUSTIN,90
BAILEY,74
BANDERA,118
BANDERA,62
BASTROP,120
BASTROP,96
BASTROP,114
BASTROP,120
BASTROP,120
BAYLOR,90
BEE,120
BEE,101
BELL,90
BELL,126
BELL,114
BELL,199
BELL,120
BELL,64
BELL,130
BELL,60
BELL,118
BELL,138
BELL,104
BELL,124
BELL,120
BELL,120
BELL,160
BEXAR,116
BEXAR,100
BEXAR,123
BEXAR,237
BEXAR,91
BEXAR,143
BEXAR,105
BEXAR,46
BEXAR,222
BEXAR,112
BEXAR,93
BEXAR,122
BEXAR,150
BEXAR,59
BEXAR,146
BEXAR,128
BEXAR,134
BEXAR,120
BEXAR,140
BEXAR,124
BEXAR,126
BEXAR,51
BEXAR,135
BEXAR,90
BEXAR,106
BEXAR,144
BEXAR,170
BEXAR,119
BEXAR,320
BEXAR,120
BEXAR,120
BEXAR,170
BEXAR,124
BEXAR,124
BEXAR,134
BEXAR,194
BEXAR,60
BEXAR,132
BEXAR,135
BEXAR,100
BEXAR,120
BEXAR,143
BEXAR,106
BEXAR,162
BEXAR,70
BEXAR,150
BEXAR,120
BEXAR,124
BEXAR,112
BEXAR,116
BEXAR,152
BEXAR,119
BEXAR,87
BEXAR,142
BEXAR,60
BEXAR,74
BEXAR,120
BEXAR,80
BEXAR,124
BEXAR,60
BEXAR,60
BEXAR,64
BEXAR,124
BEXAR,180
BEXAR,112
BEXAR,150
BEXAR,140
BEXAR,128
BLANCO,60
BOSQUE,110
BOSQUE,43
BOSQUE,128
BOSQUE,94
BOWIE,110
BOWIE,114
BOWIE,40
BOWIE,110
BOWIE,95
BOWIE,129
BOWIE,120
BOWIE,76
BRAZORIA,125
BRAZORIA,94
BRAZORIA,136
BRAZORIA,105
BRAZORIA,93
BRAZORIA,119
BRAZORIA,120
BRAZORIA,74
BRAZORIA,180
BRAZORIA,104
BRAZORIA,132
BRAZORIA,138
BRAZORIA,94
BRAZOS,48
BRAZOS,140
BRAZOS,124
BRAZOS,81
BRAZOS,116
BRAZOS,120
BROOKS,96
BROWN,48
BROWN,128
BROWN,97
BROWN,112
BROWN,114
BROWN,90
BROWN,121
BURLESON,112
BURLESON,90
BURNET,74
BURNET,112
BURNET,124
CALDWELL,96
CALDWELL,118
CALDWELL,60
CALDWELL,56
CALDWELL,90
CALHOUN,130
CALHOUN,148
CALLAHAN,74
CALLAHAN,48
CAMERON,100
CAMERON,120
CAMERON,122
CAMERON,126
CAMERON,180
CAMERON,120
CAMERON,60
CAMERON,120
CAMERON,154
CAMERON,120
CAMERON,100
CAMERON,120
CAMP,104
CASS,120
CASS,108
CASS,69
CASS,60
CASS,131
CASTRO,114
CASTRO,60
CHAMBERS,124
CHAMBERS,120
CHEROKEE,53
CHEROKEE,101
CHEROKEE,120
CHEROKEE,140
CHEROKEE,110
CHEROKEE,90
CHILDRESS,120
CLAY,60
COKE,60
COKE,70
COLEMAN,54
COLEMAN,108
COLLIN,112
COLLIN,120
COLLIN,128
COLLIN,44
COLLIN,120
COLLIN,74
COLLIN,128
COLLIN,136
COLLIN,118
COLLIN,124
COLLIN,128
COLLIN,103
COLLIN,125
COLLIN,140
COLLIN,138
COLLIN,110
COLLIN,112
COLLIN,120
COLLIN,160
COLLIN,120
COLLIN,70
COLLIN,60
COLLIN,120
COLLIN,138
COLLIN,112
COLLIN,106
COLLIN,128
COLLINGSWORTH,76
COLORADO,137
COLORADO,104
COLORADO,80
COLORADO,94
COMAL,154
COMAL,184
COMAL,162
COMAL,126
COMAL,128
COMAL,124
COMANCHE,158
COMANCHE,98
CONCHO,66
COOKE,112
COOKE,122
COOKE,91
COOKE,116
CORYELL,124
CORYELL,96
CORYELL,128
CORYELL,106
CRANE,110
CROCKETT,56
CROSBY,53
CROSBY,46
DALLAS,120
DALLAS,120
DALLAS,150
DALLAS,125
DALLAS,120
DALLAS,125
DALLAS,123
DALLAS,82
DALLAS,75
DALLAS,90
DALLAS,120
DALLAS,120
DALLAS,120
DALLAS,129
DALLAS,57
