county,Age range,population
Anderson,< 10,"5,816"
Anderson,19-Oct,"6,633"
Anderson,20-29,"8,198"
Anderson,30-39,"9,904"
Anderson,40-49,"8,920"
Anderson,50-59,"7,433"
Anderson,60-69,"5,980"
Anderson,70-79,"3,963"
Anderson,80-89,"1,775"
Anderson,90-95+,357
Andrews,< 10,"3,169"
Andrews,19-Oct,"3,044"
Andrews,20-29,"2,912"
Andrews,30-39,"2,863"
Andrews,40-49,"2,088"
Andrews,50-59,"1,912"
Andrews,60-69,"1,431"
Andrews,70-79,753
Andrews,80-89,414
Andrews,90-95+,92
Angelina,< 10,"12,714"
Angelina,19-Oct,"13,386"
Angelina,20-29,"12,292"
Angelina,30-39,"11,347"
Angelina,40-49,"10,915"
Angelina,50-59,"11,311"
Angelina,60-69,"9,583"
Angelina,70-79,"6,451"
Angelina,80-89,"3,028"
Angelina,90-95+,660
Aransas,< 10,"2,416"
Aransas,19-Oct,"2,431"
Aransas,20-29,"2,646"
Aransas,30-39,"2,507"
Aransas,40-49,"2,321"
Aransas,50-59,"3,093"
Aransas,60-69,"3,696"
Aransas,70-79,"3,149"
Aransas,80-89,"1,243"
Aransas,90-95+,222
Archer,< 10,"1,008"
Archer,19-Oct,"1,180"
Archer,20-29,"1,176"
Archer,30-39,984
Archer,40-49,"1,094"
Archer,50-59,"1,383"
Archer,60-69,"1,325"
Archer,70-79,814
Archer,80-89,423
Archer,90-95+,72
Armstrong,< 10,178
Armstrong,19-Oct,216
Armstrong,20-29,218
Armstrong,30-39,180
Armstrong,40-49,199
Armstrong,50-59,249
Armstrong,60-69,302
Armstrong,70-79,244
Armstrong,80-89,128
Armstrong,90-95+,34
Atascosa,< 10,"7,274"
Atascosa,19-Oct,"7,143"
Atascosa,20-29,"7,285"
Atascosa,30-39,"6,686"
Atascosa,40-49,"5,724"
Atascosa,50-59,"5,845"
Atascosa,60-69,"5,208"
Atascosa,70-79,"3,400"
Atascosa,80-89,"1,368"
Atascosa,90-95+,300
Austin,< 10,"3,925"
Austin,19-Oct,"4,057"
Austin,20-29,"3,687"
Austin,30-39,"3,514"
Austin,40-49,"3,585"
Austin,50-59,"4,196"
Austin,60-69,"4,292"
Austin,70-79,"2,870"
Austin,80-89,"1,108"
Austin,90-95+,270
Bailey,< 10,"1,194"
Bailey,19-Oct,"1,227"
Bailey,20-29,941
Bailey,30-39,869
Bailey,40-49,790
Bailey,50-59,767
Bailey,60-69,661
Bailey,70-79,419
Bailey,80-89,242
Bailey,90-95+,69
Bandera,< 10,"2,005"
Bandera,19-Oct,"2,090"
Bandera,20-29,"2,230"
Bandera,30-39,"1,967"
Bandera,40-49,"2,252"
Bandera,50-59,"3,729"
Bandera,60-69,"4,279"
Bandera,70-79,"2,920"
Bandera,80-89,"1,042"
Bandera,90-95+,209
Bastrop,< 10,"11,047"
Bastrop,19-Oct,"12,983"
Bastrop,20-29,"11,212"
Bastrop,30-39,"10,145"
Bastrop,40-49,"10,775"
Bastrop,50-59,"12,048"
Bastrop,60-69,"10,852"
Bastrop,70-79,"6,268"
Bastrop,80-89,"2,335"
Bastrop,90-95+,492
Baylor,< 10,466
Baylor,19-Oct,455
Baylor,20-29,388
Baylor,30-39,381
Baylor,40-49,368
Baylor,50-59,488
Baylor,60-69,541
Baylor,70-79,381
Baylor,80-89,227
Baylor,90-95+,58
Bee,< 10,"4,203"
Bee,19-Oct,"3,966"
Bee,20-29,"5,916"
Bee,30-39,"5,485"
Bee,40-49,"4,282"
Bee,50-59,"3,667"
Bee,60-69,"2,926"
Bee,70-79,"1,812"
Bee,80-89,800
Bee,90-95+,183
Bell,< 10,"60,037"
Bell,19-Oct,"53,459"
Bell,20-29,"62,269"
Bell,30-39,"51,352"
Bell,40-49,"39,846"
Bell,50-59,"35,226"
Bell,60-69,"27,624"
Bell,70-79,"15,862"
Bell,80-89,"6,597"
Bell,90-95+,"1,362"
Bexar,< 10,"289,072"
Bexar,19-Oct,"280,629"
Bexar,20-29,"312,102"
Bexar,30-39,"286,376"
Bexar,40-49,"244,757"
Bexar,50-59,"225,824"
Bexar,60-69,"181,802"
Bexar,70-79,"103,219"
Bexar,80-89,"44,805"
Bexar,90-95+,"10,708"
Blanco,< 10,"1,181"
Blanco,19-Oct,"1,243"
Blanco,20-29,"1,174"
Blanco,30-39,"1,123"
Blanco,40-49,"1,245"
Blanco,50-59,"1,692"
Blanco,60-69,"2,070"
Blanco,70-79,"1,422"
Blanco,80-89,498
Blanco,90-95+,124
Borden,< 10,61
Borden,19-Oct,56
Borden,20-29,84
Borden,30-39,53
Borden,40-49,75
Borden,50-59,90
Borden,60-69,96
Borden,70-79,74
Borden,80-89,64
Borden,90-95+,14
Bosque,< 10,"2,190"
Bosque,19-Oct,"2,159"
Bosque,20-29,"1,925"
Bosque,30-39,"1,914"
Bosque,40-49,"1,952"
Bosque,50-59,"2,553"
Bosque,60-69,"2,846"
Bosque,70-79,"2,232"
Bosque,80-89,940
Bosque,90-95+,205
Bowie,< 10,"10,898"
Bowie,19-Oct,"12,456"
Bowie,20-29,"13,577"
Bowie,30-39,"13,446"
Bowie,40-49,"12,256"
Bowie,50-59,"12,160"
Bowie,60-69,"11,061"
Bowie,70-79,"7,615"
Bowie,80-89,"3,114"
Bowie,90-95+,814
Brazoria,< 10,"50,823"
Brazoria,19-Oct,"55,632"
Brazoria,20-29,"49,446"
Brazoria,30-39,"50,925"
Brazoria,40-49,"52,466"
Brazoria,50-59,"48,571"
Brazoria,60-69,"38,289"
Brazoria,70-79,"19,891"
Brazoria,80-89,"7,929"
Brazoria,90-95+,"1,545"
Brazos,< 10,"27,587"
Brazos,19-Oct,"38,672"
Brazos,20-29,"59,344"
Brazos,30-39,"29,744"
Brazos,40-49,"22,311"
Brazos,50-59,"19,265"
Brazos,60-69,"15,641"
Brazos,70-79,"8,959"
Brazos,80-89,"3,913"
Brazos,90-95+,858
Brewster,< 10,"1,266"
Brewster,19-Oct,974
Brewster,20-29,"1,067"
Brewster,30-39,"1,269"
Brewster,40-49,"1,000"
Brewster,50-59,"1,105"
Brewster,60-69,"1,272"
Brewster,70-79,871
Brewster,80-89,332
Brewster,90-95+,93
Briscoe,< 10,158
Briscoe,19-Oct,181
Briscoe,20-29,137
Briscoe,30-39,134
Briscoe,40-49,185
Briscoe,50-59,200
Briscoe,60-69,194
Briscoe,70-79,203
Briscoe,80-89,93
Briscoe,90-95+,31
Brooks,< 10,"1,105"
Brooks,19-Oct,944
Brooks,20-29,994
Brooks,30-39,889
Brooks,40-49,648
Brooks,50-59,785
Brooks,60-69,777
Brooks,70-79,654
Brooks,80-89,329
Brooks,90-95+,90
Brown,< 10,"4,539"
Brown,19-Oct,"5,102"
Brown,20-29,"4,680"
Brown,30-39,"4,654"
Brown,40-49,"4,424"
Brown,50-59,"4,954"
Brown,60-69,"4,962"
Brown,70-79,"3,763"
Brown,80-89,"1,759"
Brown,90-95+,442
Burleson,< 10,"2,150"
Burleson,19-Oct,"2,439"
Burleson,20-29,"2,222"
Burleson,30-39,"1,934"
Burleson,40-49,"1,894"
Burleson,50-59,"2,498"
Burleson,60-69,"2,535"
Burleson,70-79,"1,670"
Burleson,80-89,841
Burleson,90-95+,209
Burnet,< 10,"5,699"
Burnet,19-Oct,"5,636"
Burnet,20-29,"5,466"
Burnet,30-39,"5,234"
Burnet,40-49,"4,986"
Burnet,50-59,"6,273"
Burnet,60-69,"6,924"
Burnet,70-79,"4,805"
Burnet,80-89,"2,153"
Burnet,90-95+,473
Caldwell,< 10,"5,583"
Caldwell,19-Oct,"6,304"
Caldwell,20-29,"5,979"
Caldwell,30-39,"5,686"
Caldwell,40-49,"5,044"
Caldwell,50-59,"5,212"
Caldwell,60-69,"4,605"
Caldwell,70-79,"2,711"
Caldwell,80-89,"1,174"
Caldwell,90-95+,295
Calhoun,< 10,"3,098"
Calhoun,19-Oct,"2,922"
Calhoun,20-29,"2,912"
Calhoun,30-39,"2,622"
Calhoun,40-49,"2,324"
Calhoun,50-59,"2,826"
Calhoun,60-69,"2,531"
Calhoun,70-79,"1,697"
Calhoun,80-89,847
Calhoun,90-95+,176
Callahan,< 10,"1,437"
Callahan,19-Oct,"1,666"
Callahan,20-29,"1,544"
Callahan,30-39,"1,641"
Callahan,40-49,"1,657"
Callahan,50-59,"2,020"
Callahan,60-69,"1,997"
Callahan,70-79,"1,387"
Callahan,80-89,665
Callahan,90-95+,128
Cameron,< 10,"69,617"
Cameron,19-Oct,"70,717"
Cameron,20-29,"59,985"
Cameron,30-39,"50,292"
Cameron,40-49,"51,531"
Cameron,50-59,"44,796"
Cameron,60-69,"39,253"
Cameron,70-79,"25,563"
Cameron,80-89,"11,645"
Cameron,90-95+,"2,428"
Camp,< 10,"1,755"
Camp,19-Oct,"1,773"
Camp,20-29,"1,681"
Camp,30-39,"1,475"
Camp,40-49,"1,433"
Camp,50-59,"1,506"
Camp,60-69,"1,651"
Camp,70-79,"1,009"
Camp,80-89,449
Camp,90-95+,118
Carson,< 10,684
Carson,19-Oct,840
Carson,20-29,765
Carson,30-39,742
Carson,40-49,701
Carson,50-59,830
Carson,60-69,786
Carson,70-79,468
Carson,80-89,236
Carson,90-95+,54
Cass,< 10,"3,812"
Cass,19-Oct,"3,635"
Cass,20-29,"3,285"
Cass,30-39,"3,199"
Cass,40-49,"3,421"
Cass,50-59,"4,080"
Cass,60-69,"4,235"
Cass,70-79,"3,469"
Cass,80-89,"1,371"
Cass,90-95+,312
Castro,< 10,"1,223"
Castro,19-Oct,"1,082"
Castro,20-29,952
Castro,30-39,879
Castro,40-49,850
Castro,50-59,899
Castro,60-69,871
Castro,70-79,537
Castro,80-89,291
Castro,90-95+,62
Chambers,< 10,"6,007"
Chambers,19-Oct,"6,299"
Chambers,20-29,"6,147"
Chambers,30-39,"5,625"
Chambers,40-49,"5,754"
Chambers,50-59,"5,326"
Chambers,60-69,"4,382"
Chambers,70-79,"2,439"
Chambers,80-89,839
Chambers,90-95+,200
Cherokee,< 10,"7,271"
Cherokee,19-Oct,"7,731"
Cherokee,20-29,"6,696"
Cherokee,30-39,"6,224"
Cherokee,40-49,"6,608"
Cherokee,50-59,"6,495"
Cherokee,60-69,"6,153"
Cherokee,70-79,"4,156"
Cherokee,80-89,"1,725"
Cherokee,90-95+,368
Childress,< 10,768
Childress,19-Oct,815
Childress,20-29,"1,394"
Childress,30-39,"1,039"
Childress,40-49,748
Childress,50-59,711
Childress,60-69,682
Childress,70-79,479
Childress,80-89,288
Childress,90-95+,69
Clay,< 10,"1,081"
Clay,19-Oct,"1,169"
Clay,20-29,"1,115"
Clay,30-39,"1,025"
Clay,40-49,"1,185"
Clay,50-59,"1,570"
Clay,60-69,"1,664"
Clay,70-79,"1,034"
Clay,80-89,471
Clay,90-95+,96
Cochran,< 10,480
Cochran,19-Oct,441
Cochran,20-29,393
Cochran,30-39,326
Cochran,40-49,259
Cochran,50-59,372
Cochran,60-69,304
Cochran,70-79,207
Cochran,80-89,120
Cochran,90-95+,27
Coke,< 10,336
Coke,19-Oct,399
Coke,20-29,367
Coke,30-39,295
Coke,40-49,292
Coke,50-59,480
Coke,60-69,495
Coke,70-79,413
Coke,80-89,225
Coke,90-95+,57
Coleman,< 10,"1,053"
Coleman,19-Oct,"1,088"
Coleman,20-29,946
Coleman,30-39,794
Coleman,40-49,883
Coleman,50-59,"1,022"
Coleman,60-69,"1,161"
Coleman,70-79,945
Coleman,80-89,509
Coleman,90-95+,104
Collin,< 10,"131,794"
Collin,19-Oct,"155,838"
Collin,20-29,"126,483"
Collin,30-39,"128,323"
Collin,40-49,"156,838"
Collin,50-59,"140,703"
Collin,60-69,"93,671"
Collin,70-79,"50,798"
Collin,80-89,"16,584"
Collin,90-95+,"2,887"
Collingsworth,< 10,443
Collingsworth,19-Oct,416
Collingsworth,20-29,331
Collingsworth,30-39,331
Collingsworth,40-49,291
Collingsworth,50-59,371
Collingsworth,60-69,354
Collingsworth,70-79,268
Collingsworth,80-89,119
Collingsworth,90-95+,35
Colorado,< 10,"2,769"
Colorado,19-Oct,"2,769"
Colorado,20-29,"2,449"
Colorado,30-39,"2,309"
Colorado,40-49,"2,231"
Colorado,50-59,"2,779"
Colorado,60-69,"3,020"
Colorado,70-79,"2,072"
Colorado,80-89,"1,034"
Colorado,90-95+,298
Comal,< 10,"17,375"
Comal,19-Oct,"18,531"
Comal,20-29,"17,890"
Comal,30-39,"17,642"
Comal,40-49,"17,702"
Comal,50-59,"19,916"
Comal,60-69,"19,738"
Comal,70-79,"12,087"
Comal,80-89,"4,968"
Comal,90-95+,"1,092"
Comanche,< 10,"1,794"
Comanche,19-Oct,"1,649"
Comanche,20-29,"1,398"
Comanche,30-39,"1,325"
Comanche,40-49,"1,477"
Comanche,50-59,"1,871"
Comanche,60-69,"1,958"
Comanche,70-79,"1,615"
Comanche,80-89,693
Comanche,90-95+,142
Concho,< 10,159
Concho,19-Oct,178
Concho,20-29,320
Concho,30-39,372
Concho,40-49,405
Concho,50-59,250
Concho,60-69,237
Concho,70-79,197
Concho,80-89,94
Concho,90-95+,27
Cooke,< 10,"4,820"
Cooke,19-Oct,"5,342"
Cooke,20-29,"5,066"
Cooke,30-39,"4,672"
Cooke,40-49,"4,301"
Cooke,50-59,"5,366"
Cooke,60-69,"5,266"
Cooke,70-79,"3,386"
Cooke,80-89,"1,529"
Cooke,90-95+,347
Coryell,< 10,"10,448"
Coryell,19-Oct,"10,762"
Coryell,20-29,"13,785"
Coryell,30-39,"13,122"
Coryell,40-49,"9,737"
Coryell,50-59,"6,841"
Coryell,60-69,"4,766"
Coryell,70-79,"2,993"
Coryell,80-89,"1,305"
Coryell,90-95+,233
Cottle,< 10,152
Cottle,19-Oct,172
Cottle,20-29,146
Cottle,30-39,116
Cottle,40-49,112
Cottle,50-59,186
Cottle,60-69,188
Cottle,70-79,163
Cottle,80-89,107
Cottle,90-95+,33
Crane,< 10,768
Crane,19-Oct,713
Crane,20-29,677
Crane,30-39,516
Crane,40-49,507
Crane,50-59,650
Crane,60-69,452
Crane,70-79,258
Crane,80-89,130
Crane,90-95+,40
Crockett,< 10,487
Crockett,19-Oct,437
Crockett,20-29,375
Crockett,30-39,384
Crockett,40-49,373
Crockett,50-59,435
Crockett,60-69,466
Crockett,70-79,292
Crockett,80-89,155
Crockett,90-95+,52
Crosby,< 10,807
Crosby,19-Oct,847
Crosby,20-29,765
Crosby,30-39,550
Crosby,40-49,571
Crosby,50-59,667
Crosby,60-69,703
Crosby,70-79,569
Crosby,80-89,250
Crosby,90-95+,67
Culberson,< 10,284
Culberson,19-Oct,213
Culberson,20-29,261
Culberson,30-39,230
