County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Anderson,16887,0.293605258,77.95937704,19.88511873,0.337537751,1.817966483,35.9,0.465,23.6,24.15,24.5,0.8,13.2,13.75,0.09,70.7,0.36,0.34,0.115,317.3,0.264,311.56,93.1,0.229050967,-0.948391126,0.711661717,5.46252E-06,5.46252E-06,7.36841E-05,0.000422619,-0.470898281
Andrews,4926,0.350854701,79.67925294,16.97117337,0.365408039,2.984165652,38.4,0.531,20.9,16.5,24.25,1.1,18.45,18.85,0.1,82.4,0.282,0.303,0.099,479.1,0.271,536.37,79.8,0.827518773,-1.081740945,0.821885627,4.48729E-05,4.48729E-05,0.000108702,0.000621744,-0.052598594
Angelina,29870,0.35299818,72.53431537,25.23602277,0.354871108,1.87479076,51.3,0.452,27.75,18,23.15,0.7,11.45,18.9,0.09,72.7,0.396,0.318,0.11,438,0.252,350.84,65.2,0.620367004,-0.793494326,0.479538497,2.9459E-05,2.9459E-05,6.01377E-05,0.000468257,-0.681731686
Aransas,10467,0.439273124,73.85115124,23.48332856,0.39170727,2.273812936,67.9,0.47,31.05,19.6,23.6,1.65,13.25,10.9,0.09,72.6,0.378,0.278,0.121,457.8,0.266,186.09,102.4,-0.093289446,-0.794146819,0.733924079,4.35288E-05,4.35288E-05,8.93569E-05,0.000352795,-0.21667851
Archer,4269,0.474596998,88.66245022,9.229327711,0.234246896,1.87397517,62.9,0.409,28.2,14.6,24.1,3.4,15.6,14.15,0.08,34.9,0.213,0.295,0.125,90.5,0.245,112.93,59.6,1.421797538,0.230078931,0.547123161,8.40015E-06,8.40015E-06,8.05821E-05,0.00042607,-0.653377726
Armstrong,1017,0.519672969,90.85545723,6.882989184,0.491642085,1.769911504,0,0.375,33.5,23.05,22.7,0.8,8.15,11.75,,48.4,0.358,0.269,0.113,,0.262,0,,1.301241871,0.135936394,0.806203917,3.72132E-05,3.72132E-05,9.94044E-05,0.000591723,-0.132098703
Atascosa,13605,0.307687089,63.19735391,34.06835722,0.477765527,2.256523337,55.4,0.429,24.4,16.1,24.2,1.5,18.7,15.1,0.09,69.7,0.352,0.308,0.102,335.7,0.266,189.97,60,0.007028384,-1.157331042,0.759771073,1.97742E-05,1.97742E-05,0.000103928,0.000310983,-0.26899669
Austin,12255,0.445766041,78.6372909,18.92288862,0.416156671,2.023663811,34.4,0.452,29.55,19.35,22.2,0.85,10.95,17.05,0.07,43,0.269,0.308,0.103,188.4,0.234,233.82,69.1,0.86007759,0.053106672,0.507504199,2.3972E-05,2.3972E-05,6.24048E-05,0.000285312,-0.667859955
Bailey,1784,0.26382727,75.28026906,22.25336323,0.280269058,2.186098655,49.7,0.427,28.6,16.4,22.1,14,4.7,14.2,0.09,107.8,0.188,0.289,0.097,193.2,0.325,303.86,91.1,-0.003388345,-0.795919095,0.923399474,0.000137445,0.000137445,0.000140197,0.001180544,0.61194114
Bandera,10213,0.502830978,79.88837756,16.90002937,0.64623519,2.565357877,38.7,0.452,37.95,20.25,20.15,1.55,14.85,5.3,0.09,36.3,0.256,0.29,0.13,107.1,0.264,83.84,74,1.332075428,-0.467930473,0.939665415,9.48316E-05,9.48316E-05,9.05536E-05,0.000670817,0.308167958
Bastrop,28250,0.386726718,57.74867257,37.36283186,1.132743363,3.755752212,33.2,0.407,31.35,15.1,23.5,0.85,17.55,11.7,0.07,51.6,0.259,0.312,0.103,391.4,0.258,414.82,74.2,-0.747845022,-0.165025694,0.509321492,2.6793E-05,2.6793E-05,3.32333E-05,0.000315259,-0.717250613
Baylor,1492,0.397125366,84.91957105,12.80160858,0.201072386,2.077747989,16.1,0.515,32.35,15.2,27.75,3.4,14.55,6.7,0.1,66.3,0.211,0.273,0.117,240.6,0.255,453.94,121.2,1.095568994,-0.739155169,1.303575307,0.000140428,0.000140428,0.000167744,0.000984686,1.180480892
Bee,8458,0.263185736,56.07708678,40.70702294,0.401986285,2.813903996,36.8,0.476,23.35,36.45,19.2,3.35,9.1,8.5,0.09,75.7,0.413,0.3,0.095,676.1,0.226,271.79,56.4,-0.349958199,-1.407915393,1.032377032,-2.61649E-05,2.61649E-05,0.000178734,0.000593714,0.284135732
Bell,93999,0.320909892,55.0856924,40.00893627,0.862775136,4.042596198,40.1,0.424,31.6,20.3,26.4,0.2,9.85,11.65,0.09,66,0.365,0.291,0.096,1253.5,0.202,404.2,51.5,0.141290092,-0.46496915,0.764293181,7.20719E-05,7.20719E-05,8.36075E-05,0.000997023,-0.047868787
Bexar,586038,0.355218679,40.98044837,54.46592201,1.131837867,3.421791761,44.7,0.463,33.4,18.15,28,0.2,10.3,9.85,0.09,57.8,0.368,0.293,0.093,677.8,0.231,507.66,58.7,0.001802071,-0.491244208,0.665190644,3.89189E-05,3.89189E-05,4.48629E-05,0.000150115,-0.428955118
