county,max capacity (gender),employees
Anderson,"3,471 Male",633
Anderson,"4,139 Male",879
Anderson,"2,128 Male",437
Anderson,"3,800 Male",816
Anderson,"1,137 Male",290
Angelina,518 Male,136
Angelina,606 Male,139
Bee,"2,458 Male",442
Bee,"2,278 Male",401
Bee,"2,900 Male",542
Bexar,"2,276 Male",382
Bowie,"2,872 Male",706
Brazoria,"1,215 Male",348
Brazoria,"1,931 Male",546
Brazoria,"1,891 Male",429
Brazoria,"1,130 Male",307
Brazoria,"1,212 Male",313
Brazoria,"1,603 Male",466
Brazos,"1,166 Male",256
Brown,596 Male,181
Burnet,612 Female,135
Caldwell,"500 Female,",204
Cherokee,989 Male,333
Cherokee,562 Female/Male,295
Childress,"1,384 Male",289
Coryell,"2,115 Female",711
Coryell,553 Female,268
Coryell,"2,984 Male",741
Coryell,645 Female,300
Coryell,"1,341 Female",341
Coyell,900 Female,270
Dallas,"2,276 Male",399
Dawson,"2,234 Male",408
DeWitt,"1,384 Female",272
El Paso,"1,100 Male",287
Falls,"1,384 Female",299
Falls,606 Female,126
Fannin,900 Male,226
Fannin,"1,224 Male",245
Fort Bend,323 Male,119
Fort Bend,"1,131 Male",288
Fort Bend,550 Male,381
Fort Bend,378 Male,116
Freestone,"1,372 Male",298
Frio,"1,384 Male",233
Galveston,365 Female/Male,496
Galveston,455 Female,302
Gray,"1,008 Male",289
Grimes,"1,316 Male",323
Grimes,"1,478 Male",334
Hale,"1,100 Male",278
Harris,667 Male,155
Harris,"2,276 Male",413
Hartley,"1,398 Male",237
Hays,520 Male,117
Hidalgo,"1,100 Male",257
Houston,"2,474 Male",583
Jack,"1,031 Male",202
Jasper,612 Male,155
Jefferson,"2,276 Male",368
Jefferson,"1, 224 Male",248
Jefferson,"2,981 Male",756
Johnson,"1,040 Male",191
Jones,"2,128 Male",504
Jones,"2,984 Male",683
Karnes,"2,148 Male",602 
La Salle,606 Male,99
Liberty,520 Male,134
Liberty,576 Female,124
Liberty,"1,384 Male",335
Liberty,"2,291 Female",418
Lubbock,"1,044 Male",705
Madison,"2,421 Male",578
Medina,576 Male,134
Medina,"1,384 Male",298
Mitchell,"1,448 Male",255
Pecos,606 Male,114
Pecos,"1,416 Male",289
Polk,"2,984 Male",691
Potter,"3,798 Male",1050
Potter,"1,732 Male",383
Rusk,"1,980 Male",266
Rusk,"1,980 Male",266
Rusk,500 Male,109
San Saba,606 Female,135
Scurry,"1,384 Male",224
Stephens,632 Male,146
Swisher,606 Male,117
Terry,612 Male,145
Travis,"1,161 Male",264
Tyler,"2,231 Male",570
Walker,"1,365 Male",282
Walker,"2,482 Male",604
Walker,"3,480 Male",980
Walker,"1,321 Male",315
Walker,"2,128 Male",435
Walker,"1,705 Male",446
Walker,"2,621 Male",697
Wichita,"3,722 Male",939
Wallacy,"1,069 Male",183
Wise,520 Male,117
Wood,612 Male,160
